Subject_ID,Group,Age_Stage,MWM_Acquisition_Latency_s,MWM_Probe_TargetTime_pct,ThreeChamber_SocialPreference_Index,NOR_Discrimination_Index,OpenField_CenterTime_s,EEG_ThetaBeta_Ratio,EEG_Gamma_Power_Relative,EEG_Coherence_PFC_HPC,Conn_FrontoHippocampal_FC,Conn_VisualInterhemispheric_FC,Locomotor_Variability_SD,Group_Target,Future_Outcome_Category
M01,Control,Juvenile,27.4,35.1,0.61,0.36,24.5,1.84,0.91,0.47,0.43,0.49,0.53,Control,Stable
M02,Control,Juvenile,29.1,33.4,0.58,0.33,23.2,1.93,0.88,0.44,0.40,0.46,0.57,Control,Variable
M03,Control,Juvenile,25.9,37.0,0.65,0.39,25.8,1.77,0.94,0.50,0.45,0.50,0.49,Control,Stable
M04,Control,Juvenile,31.0,31.6,0.54,0.28,21.7,2.00,0.85,0.42,0.38,0.45,0.60,Control,Variable
M05,Control,Juvenile,26.8,36.1,0.63,0.37,24.9,1.82,0.92,0.48,0.44,0.48,0.51,Control,Stable
M06,Control,Juvenile,24.7,38.2,0.67,0.42,26.6,1.71,0.97,0.52,0.47,0.51,0.46,Control,Stable
M07,Control,Adolescent,28.5,34.0,0.57,0.31,23.6,1.95,0.87,0.44,0.40,0.47,0.58,Control,Variable
M08,Control,Adolescent,26.1,36.8,0.64,0.38,25.4,1.79,0.93,0.49,0.44,0.49,0.50,Control,Stable
M09,Control,Adolescent,27.9,35.0,0.60,0.35,24.1,1.88,0.90,0.46,0.42,0.48,0.54,Control,Stable
M10,Control,Adolescent,32.2,30.8,0.52,0.27,21.0,2.06,0.83,0.41,0.37,0.44,0.63,Control,Variable
M11,Control,Adolescent,24.3,39.1,0.68,0.43,27.1,1.69,0.98,0.53,0.48,0.52,0.45,Control,Stable
M12,Control,Adolescent,27.0,35.9,0.62,0.36,24.7,1.83,0.91,0.47,0.43,0.49,0.52,Control,Stable
M13,Control,Adult,29.4,33.1,0.56,0.32,22.8,1.96,0.87,0.43,0.40,0.46,0.59,Control,Variable
M14,Control,Adult,25.5,37.4,0.66,0.40,26.0,1.75,0.95,0.50,0.45,0.50,0.48,Control,Stable
M15,Control,Adult,30.7,32.0,0.53,0.29,21.9,2.02,0.84,0.42,0.38,0.45,0.61,Control,Variable
M16,Control,Adult,26.6,36.3,0.62,0.37,25.1,1.81,0.92,0.48,0.44,0.49,0.51,Control,Stable
M17,Control,Adult,24.8,38.0,0.67,0.41,26.8,1.72,0.97,0.52,0.47,0.51,0.46,Control,Stable
M18,Control,Adult,28.1,34.5,0.59,0.34,23.9,1.90,0.89,0.45,0.41,0.47,0.55,Control,Stable
M19,Control,Adult,31.8,31.1,0.51,0.26,20.8,2.08,0.82,0.40,0.36,0.43,0.64,Control,Variable
M20,Control,Adult,24.1,39.4,0.69,0.44,27.4,1.66,0.99,0.54,0.49,0.53,0.44,Control,Stable
M21,Control,Adult,27.2,35.6,0.61,0.35,24.6,1.84,0.91,0.47,0.43,0.48,0.52,Control,Stable
M22,Control,Adult,29.8,32.8,0.55,0.31,22.5,1.99,0.86,0.43,0.39,0.46,0.60,Control,Variable
M23,Control,Adult,25.7,37.1,0.65,0.39,25.9,1.76,0.94,0.50,0.45,0.50,0.49,Control,Stable
M24,Control,Adult,30.9,31.9,0.54,0.28,21.6,2.03,0.84,0.41,0.37,0.44,0.62,Control,Variable
M25,CTD,Juvenile,28.6,33.8,0.59,0.32,24.1,1.93,0.89,0.43,0.39,0.47,0.56,CTD,Variable
M26,CTD,Juvenile,27.1,35.2,0.62,0.35,24.8,1.87,0.90,0.46,0.42,0.48,0.53,CTD,Stable
M27,CTD,Juvenile,31.8,30.9,0.53,0.27,22.3,2.08,0.83,0.40,0.36,0.44,0.63,CTD,Persistent
M28,CTD,Juvenile,25.6,37.0,0.64,0.38,25.7,1.80,0.93,0.48,0.44,0.50,0.49,CTD,Stable
M29,CTD,Juvenile,29.4,32.7,0.57,0.30,23.0,2.00,0.86,0.42,0.38,0.45,0.59,CTD,Variable
M30,CTD,Juvenile,33.2,29.8,0.50,0.24,21.2,2.13,0.81,0.39,0.35,0.43,0.66,CTD,Persistent
M31,CTD,Adolescent,26.9,35.7,0.63,0.36,24.6,1.85,0.91,0.46,0.42,0.49,0.52,CTD,Stable
M32,CTD,Adolescent,30.4,31.8,0.55,0.28,22.1,2.03,0.85,0.41,0.37,0.45,0.61,CTD,Variable
M33,CTD,Adolescent,28.2,34.1,0.58,0.33,23.8,1.94,0.88,0.43,0.39,0.47,0.56,CTD,Stable
M34,CTD,Adolescent,34.6,28.9,0.48,0.22,20.6,2.17,0.79,0.37,0.34,0.42,0.69,CTD,Persistent
M35,CTD,Adolescent,25.0,37.6,0.66,0.40,26.4,1.77,0.94,0.49,0.45,0.51,0.48,CTD,Stable
M36,CTD,Adolescent,29.8,32.3,0.56,0.29,22.9,1.98,0.86,0.42,0.38,0.46,0.58,CTD,Variable
M37,CTD,Adult,27.7,34.7,0.60,0.34,24.4,1.89,0.90,0.45,0.41,0.48,0.54,CTD,Stable
M38,CTD,Adult,32.9,30.4,0.52,0.25,21.5,2.10,0.82,0.39,0.35,0.43,0.65,CTD,Persistent
M39,CTD,Adult,25.9,36.8,0.65,0.39,25.6,1.82,0.92,0.47,0.43,0.50,0.50,CTD,Stable
