Subject_ID,Species,Group,Age_Stage,EEG_Frontal_AlphaAsymmetry,HRV_RMSSD_ms,Sleep_Spindle_Density,Pupil_Dilation_Challenge_pct,Electrodermal_Reactivity_Z,Startle_Amplitude_Z,Respiratory_Variability_SD,EEG_ThetaPower_Relative,Group_Target,Future_Outcome_Category
M01,Mouse,Control,Juvenile,0.13,31.4,2.86,17.7,0.23,0.17,0.42,0.91,Control,Stable
M02,Mouse,Control,Juvenile,0.10,29.8,2.72,18.4,0.30,0.25,0.45,0.95,Control,Stable
M03,Mouse,Control,Juvenile,0.15,32.6,2.94,16.8,0.11,0.08,0.39,0.88,Control,Stable
M04,Mouse,Control,Juvenile,0.08,28.7,2.64,19.3,0.36,0.32,0.47,1.00,Control,Variable
M05,Mouse,Control,Adolescent,0.12,30.9,2.81,17.4,0.19,0.14,0.41,0.90,Control,Stable
M06,Mouse,Control,Adolescent,0.16,33.1,2.98,16.5,0.07,0.04,0.38,0.86,Control,Stable
M07,Mouse,Control,Adolescent,0.09,29.2,2.62,18.8,0.34,0.29,0.46,0.99,Control,Variable
M08,Mouse,Control,Adolescent,0.11,30.1,2.75,17.6,0.26,0.21,0.43,0.93,Control,Stable
M09,Mouse,Control,Adult,0.14,31.7,2.89,17.0,0.17,0.12,0.40,0.89,Control,Stable
M10,Mouse,Control,Adult,0.07,28.3,2.57,19.6,0.39,0.35,0.48,1.03,Control,Variable
M11,Mouse,Control,Adult,0.10,29.6,2.69,18.1,0.28,0.24,0.44,0.96,Control,Stable
M12,Mouse,Control,Adult,0.15,32.5,2.95,16.7,0.09,0.06,0.39,0.87,Control,Stable
M13,Mouse,BD,Juvenile,0.05,25.2,2.31,18.0,0.27,0.23,0.43,0.94,BD,Variable
M14,Mouse,BD,Juvenile,0.06,26.1,2.42,17.3,0.22,0.18,0.41,0.90,BD,Stable
M15,Mouse,BD,Juvenile,0.00,22.8,2.14,19.1,0.37,0.33,0.47,1.01,BD,Persistent
M16,Mouse,BD,Juvenile,0.09,28.1,2.59,16.9,0.15,0.11,0.39,0.88,BD,Stable
M17,Mouse,BD,Adolescent,0.04,24.9,2.28,18.7,0.31,0.28,0.44,0.96,BD,Variable
M18,Mouse,BD,Adolescent,0.07,26.7,2.46,17.1,0.18,0.15,0.40,0.90,BD,Stable
M19,Mouse,BD,Adolescent,-0.01,22.3,2.10,19.4,0.38,0.35,0.48,1.02,BD,Persistent
M20,Mouse,BD,Adolescent,0.10,28.8,2.63,16.6,0.12,0.09,0.38,0.87,BD,Stable
M21,Mouse,BD,Adult,0.03,24.4,2.25,18.9,0.33,0.29,0.45,0.97,BD,Variable
M22,Mouse,BD,Adult,0.06,26.5,2.43,17.4,0.21,0.17,0.41,0.91,BD,Stable
M23,Mouse,BD,Adult,-0.02,21.8,2.08,19.3,0.40,0.36,0.49,1.03,BD,Persistent
M24,Mouse,BD,Adult,0.08,27.8,2.55,16.8,0.14,0.10,0.39,0.88,BD,Stable
H01,Human,Control,Child,0.12,30.8,2.83,17.6,0.22,0.16,0.42,0.92,Control,Stable
H02,Human,Control,Child,0.10,29.5,2.69,18.2,0.29,0.24,0.45,0.96,Control,Variable
H03,Human,Control,Child,0.14,32.0,2.91,16.9,0.12,0.09,0.39,0.89,Control,Stable
H04,Human,Control,Child,0.08,28.8,2.63,19.1,0.35,0.31,0.47,1.00,Control,Persistent
H05,Human,Control,Adolescent,0.11,30.4,2.77,17.3,0.20,0.15,0.41,0.91,Control,Stable
H06,Human,Control,Adolescent,0.15,32.6,2.95,16.4,0.08,0.05,0.38,0.87,Control,Variable
H07,Human,Control,Adolescent,0.09,29.0,2.61,18.7,0.34,0.28,0.46,0.99,Control,Stable
H08,Human,Control,Adolescent,0.11,29.9,2.74,17.7,0.26,0.20,0.43,0.94,Control,Stable
H09,Human,Control,Adult,0.13,31.3,2.86,17.1,0.18,0.13,0.40,0.90,Control,Variable
H10,Human,Control,Adult,0.07,28.2,2.56,19.4,0.38,0.34,0.48,1.02,Control,Persistent
H11,Human,Control,Adult,0.10,29.4,2.67,18.0,0.28,0.23,0.44,0.96,Control,Stable
H12,Human,Control,Adult,0.14,32.3,2.93,16.6,0.10,0.07,0.39,0.88,Control,Variable
H13,Human,BD,Child,0.11,29.7,2.74,17.8,0.24,0.19,0.43,0.93,BD,Stable
H14,Human,BD,Child,0.09,28.9,2.65,18.3,0.31,0.25,0.45,0.97,BD,Persistent
H15,Human,BD,Child,0.13,31.1,2.84,16.8,0.14,0.10,0.39,0.90,BD,Variable
H16,Human,BD,Child,0.08,28.5,2.60,19.0,0.36,0.30,0.47,1.01,BD,Stable
H17,Human,BD,Adolescent,0.12,30.2,2.76,17.4,0.21,0.16,0.41,0.92,BD,Variable
H18,Human,BD,Adolescent,0.14,31.7,2.87,16.7,0.13,0.09,0.38,0.89,BD,Stable
H19,Human,BD,Adolescent,0.10,29.1,2.66,18.6,0.33,0.27,0.46,0.98,BD,Persistent
H20,Human,BD,Adolescent,0.07,27.8,2.54,19.3,0.39,0.33,0.48,1.02,BD,Stable
H21,Human,BD,Adult,0.11,29.6,2.70,17.7,0.23,0.18,0.42,0.94,BD,Variable
H22,Human,BD,Adult,0.09,28.7,2.62,18.1,0.29,0.24,0.44,0.97,BD,Stable
H23,Human,BD,Adult,0.13,31.0,2.82,16.9,0.15,0.11,0.39,0.90,BD,Persistent
H24,Human,BD,Adult,0.08,28.0,2.58,18.9,0.37,0.32,0.47,1.01,BD,Variable
